# provider_share
Provider,Domains,Share,Category
"Microsoft 365","2,492,673","27.52%","Google or Microsoft"
"Google Workspace","2,298,481","25.37%","Google or Microsoft"
"Smaller and regional hosts","1,348,835","16.09%","Self-hosted or long tail"
"Self-hosted (own domain)","1,241,027","14.80%","Self-hosted or long tail"
"Proofpoint","307,368","3.67%","Security gateway"
"Hostinger","138,851","1.66%","Email host"
"IONOS / 1&1","135,724","1.62%","Email host"
"Zoho","97,967","1.17%","Email host"
"GoDaddy","89,040","1.06%","Email host"
"Mimecast","74,566","0.89%","Security gateway"
"Barracuda","72,239","0.86%","Security gateway"
"Rackspace","55,032","0.66%","Email host"
"OVH","49,157","0.59%","Email host"
"Yahoo / AOL","45,185","0.54%","Email host"
"Titan","38,198","0.46%","Email host"
"cPanel-style host","27,371","0.33%","Email host"
"Yandex","16,490","0.20%","Email host"
"Proton","14,770","0.18%","Email host"
"Cisco / IronPort","12,431","0.15%","Security gateway"
"Trend Micro","11,506","0.14%","Security gateway"
"Fastmail","11,287","0.13%","Email host"
"Sophos","10,674","0.13%","Security gateway"
"Apple iCloud","10,000","0.12%","Email host"
"Amazon SES / WorkMail","7,268","0.09%","Email host"
"Mail.ru","6,656","0.08%","Email host"
"Symantec / Broadcom","3,247","0.04%","Security gateway"
"Hushmail","2,093","0.03%","Email host"
"Bluehost / Newfold","1,679","0.02%","Email host"
"Forcepoint","1,428","0.02%","Security gateway"
"Fortinet","11","0.00%","Security gateway"

# by_company_size
Company size,Domains,Gateway,Microsoft 365,Google Workspace,Self-hosted
"1 to 10","4,061,509","5.33%","28.91%","28.14%","12.98%"
"11 to 50","1,150,584","7.89%","37.42%","26.77%","9.12%"
"51 to 250","605,526","13.27%","42.45%","22.01%","6.89%"
"251 to 1,000","173,891","18.06%","40.70%","17.89%","7.72%"
"Over 1,000","100,297","15.75%","34.81%","18.77%","8.99%"
"Size not recorded","2,292,695","2.53%","18.12%","23.22%","23.83%"

# top_shared_mx_hosts
MX host,Domains
"xion.oxcs.net","73,489"
"antispam.mailspamprotection.com","44,832"
"mx.cloudflare.net","46,924"
"mx.stackmail.com","20,607"
"mx1.mailchannels.net","19,154"
"h-email.net","17,389"
"registrar-servers.com","17,268"
"locaweb.com.br","16,520"
"smtpin.rzone.de","16,073"
"cust.hostedemail.com","15,466"
"park-mx.above.com","13,831"
